Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-02,397.2049504003868,399.0941077222746,390.61717280519315,393.3394775390625,5389635,0.0,0.0
2024-01-03,394.2985805577603,406.5053729942108,393.13601763421144,404.9649963378906,6787670,0.0,0.0
2024-01-04,406.89287401808593,417.0651958685381,404.9940488842583,416.22235107421875,7695105,0.0,0.0
2024-01-05,417.1621004803037,421.76386534141494,410.66151039686474,420.9210205078125,8114435,0.0,0.0
2024-01-08,423.16857413811147,431.1126848765239,419.2062161552729,425.5614929199219,7487975,0.0,0.0
2024-01-09,427.5475405487051,430.73484679067366,416.69705202844693,420.0393981933594,5463445,0.0,0.0
2024-01-10,422.3935969862827,423.9146085481441,413.81010826634633,416.5808410644531,2470725,0.0,0.0
2024-01-11,429.7466864158116,443.67792810306696,427.04374690601554,441.7209777832031,14663945,0.0,0.0
2024-01-12,444.24951171875,446.2452220171176,437.9136001298925,444.24951171875,5187280,0.0,0.0
2024-01-15,444.24951171875,444.24951171875,444.24951171875,444.24951171875,0,0.0,0.0
2024-01-16,450.48858150804165,452.41646941750065,444.68552300496503,447.5240783691406,6647950,0.0,0.0
2024-01-17,444.48205247464097,449.1032123002834,434.0191037635656,443.31951904296875,5308645,0.0,0.0
2024-01-18,440.0255872730283,443.183830876214,425.6002520372463,437.0029296875,7883550,0.0,0.0
2024-01-19,440.02558776690427,449.89758621058144,440.02558776690427,446.0030212402344,5296785,0.0,0.0
2024-01-23,443.13543269332365,448.34754168208644,435.4916447848834,441.67254638671875,10999270,0.0,0.0
2024-01-24,432.8274280006135,448.5509414065669,428.11911049593647,446.1192626953125,8501730,0.0,0.0
2024-01-25,449.0934705991179,455.90408102005466,444.0944975101426,447.0299377441406,5327820,0.0,0.0
2024-01-29,471.2207342845644,473.1583195649822,446.06118823573127,466.7642822265625,17895075,0.0,0.0
2024-01-30,466.76424287635626,483.7278100371789,466.76424287635626,475.2799377441406,14238795,0.0,0.0
2024-01-31,474.70837204526424,480.4436372223375,465.1173312577986,477.9635009765625,9573360,0.0,0.0
2024-02-01,467.1517821880539,472.5673290266324,462.81158089501315,464.4779052734375,10601720,0.0,0.0
2024-02-02,464.5360465496139,469.1184461402815,462.2303154567453,466.08612060546875,4405185,0.0,0.0
2024-02-05,468.70181769432486,471.298204163702,454.78997105074575,456.70819091796875,1993400,0.0,0.0
2024-02-06,459.2183167864505,467.7605546271619,452.1451978925641,466.3109130859375,7511415,2.0,0.0
2024-02-07,466.6027618993025,478.51129479738256,466.3108977365715,469.6577453613281,5230250,0.0,0.0
2024-02-08,471.86630013598676,471.86630013598676,455.4823274220403,456.87359619140625,4430985,0.0,0.0
2024-02-09,456.873566977955,458.06053074159325,445.88929023578487,454.1785888671875,2903050,0.0,0.0
2024-02-12,454.35373086066653,457.84651079620556,438.75782132947705,440.19775390625,2845040,0.0,0.0
2024-02-13,441.1219792880459,456.0076750338484,434.9439305483419,453.50726318359375,8984610,0.0,0.0
2024-02-14,444.6245424291943,467.89680725459164,443.6905473275531,465.697998046875,3686385,0.0,0.0
2024-02-15,474.2402641584299,479.3383569298297,469.33673762853294,474.3180847167969,5721585,0.0,0.0
2024-02-16,474.78501067878494,478.63776597650457,473.58830826223,476.6141052246094,4596560,0.0,0.0
2024-02-19,476.61416750061863,479.05620678154,470.22207445723234,474.765625,3451410,0.0,0.0
2024-02-20,474.7655880707688,475.7287695233397,466.087127221404,470.2414855957031,4396705,0.0,0.0
2024-02-21,469.68696107369783,469.9301911215335,456.3093084427379,458.4302673339844,3665875,0.0,0.0
2024-02-22,459.04323320918485,466.9433407806622,453.9742973982972,466.0677185058594,2571220,0.0,0.0
2024-02-23,466.70984503967645,478.09299388749236,464.6861543392854,475.8455505371094,5723325,0.0,0.0
2024-02-26,476.7114205004826,493.2705105810706,476.33196739442957,483.57049560546875,5989015,0.0,0.0
2024-02-27,481.59550722448074,488.27946436203956,439.1761798418281,461.6311950683594,20513770,0.0,0.0
2024-02-28,465.4450165315801,474.38615552162605,449.0804916842485,457.03900146484375,11119410,0.0,0.0
2024-02-29,466.8071233625434,477.7232897385639,457.4962991495136,474.5126647949219,20232355,0.0,0.0
2024-03-01,480.5252744652518,481.3717102774328,473.81213111256807,476.8184509277344,5500370,0.0,0.0
2024-03-04,478.67670089816363,479.64962102194033,470.69874400672785,476.0498046875,2666695,0.0,0.0
2024-03-05,469.1421240016791,477.8692192286522,469.1421240016791,473.1310729980469,6190170,0.0,0.0
2024-03-06,475.5633408905209,477.31461491426404,457.0584109704451,462.0592346191406,6744720,0.0,0.0
2024-03-07,462.05924711283734,477.78161048647934,462.05924711283734,476.643310546875,5963990,0.0,0.0
2024-03-11,475.9525628394507,486.4406411681183,471.01985041229835,482.7532653808594,11377355,0.0,0.0
2024-03-12,483.34672492906765,483.34672492906765,468.9864435183171,471.23388671875,7206710,0.0,0.0
2024-03-13,473.7926982779643,474.726693373377,447.5627478325925,451.7073974609375,8118855,0.0,0.0
2024-03-14,450.4620186988924,452.98187826431126,440.95659974907676,445.8892822265625,10111785,0.0,0.0
2024-03-15,446.3757568856918,450.4620334282464,438.0086672747314,441.08306884765625,7257360,0.0,0.0
2024-03-18,440.73284381673596,453.94508686527394,440.68420968395174,449.2848205566406,5870405,0.0,0.0
2024-03-19,452.0187398483676,455.8909433190336,443.17489861741393,445.0137023925781,6619825,0.0,0.0
2024-03-20,445.59743592736044,452.9721577198613,443.6515955957999,450.3063659667969,4526425,0.0,0.0
2024-03-21,451.96033007402684,458.2356471612843,445.59742404595755,449.644775390625,8698620,0.0,0.0
2024-03-22,455.13205018576014,458.9653580859043,448.54539122908824,453.51702880859375,6367775,0.0,0.0
2024-03-26,443.8462035302754,464.9391061699684,443.64186891228525,461.6603698730469,10693585,0.0,0.0
2024-03-27,468.9475347912995,472.8392155779493,456.2995722346877,464.3456115722656,77232200,0.0,0.0
2024-03-28,461.9522720734116,465.9412511277125,454.9861593614374,459.179443359375,11625440,0.0,0.0
2024-04-01,461.3587739602767,474.2013028758715,460.39556276551,473.17974853515625,4228910,0.0,0.0
2024-04-02,472.83920474479993,480.87553488628635,472.8294660418826,479.8345031738281,4433110,0.0,0.0
2024-04-03,481.9846505645819,499.45828865959464,478.4432365537059,497.4443664550781,11588495,0.0,0.0
2024-04-04,501.04417061896714,501.04417061896714,483.7359414202142,486.3238830566406,7019985,0.0,0.0
2024-04-05,488.5129396532289,492.68677555882215,486.0903778946718,490.12799072265625,3253480,0.0,0.0
2024-04-08,494.81746293121495,502.08517774813345,491.7138452309715,499.9253234863281,3678905,0.0,0.0
2024-04-09,503.97266137542937,507.01790633857433,490.95498440630337,496.2671203613281,4766875,0.0,0.0
2024-04-10,498.1253872774507,499.35127619021637,490.2544666818348,491.91815185546875,3504425,0.0,0.0
2024-04-12,490.34203802256343,490.34203802256343,482.3543715604602,483.6580810546875,4144555,0.0,0.0
2024-04-15,485.098028908726,485.098028908726,468.568094137366,469.85235595703125,4750690,0.0,0.0
2024-04-16,467.00168143817467,471.6716863760895,460.8431098283223,467.1476135253906,4033025,0.0,0.0
2024-04-18,470.87394962213745,475.22290429346526,459.4323980699367,461.44635009765625,6791185,0.0,0.0
2024-04-19,457.2432786695541,462.84730816837777,452.42731210760667,460.4928283691406,4797160,0.0,0.0
2024-04-22,465.0558573700774,473.28675397987837,461.94250084176014,471.7981872558594,3489700,0.0,0.0
2024-04-23,475.16451870563344,477.97624269142216,470.3291040428219,472.2457580566406,2892585,0.0,0.0
2024-04-24,472.25542821014426,482.8991768762972,470.504183841314,478.8810119628906,8459300,0.0,0.0
2024-04-25,478.4821441977659,487.29679886605226,471.33120445508115,484.8742370605469,14587660,0.0,0.0
2024-04-26,488.8924000714511,493.6499940970415,454.74289514315194,486.18768310546875,20810260,0.0,0.0
2024-04-29,500.0711867586178,501.4332986353725,472.8877971121743,484.9422912597656,11904615,0.0,0.0
